iteration,rel_error
0,1.0
10,0.784930819413578
20,0.4623270485339451
30,0.5340167753960857
40,0.522068487585729
50,0.3189475948096638
60,0.03950103950103952
70,0.03950103950103952
80,0.02755275169068271
90,0.02024039955074439
